"ref","category","metric","value","unit","statement","source","source_date","note"
"EVAC-01","Evacuation timeline","Golden Hour standard","60","minutes","Secretary of Defense mandate: evacuate a casualty to a treatment facility within 60 minutes. Predicated on uncontested airspace and short interior lines.","Established DoD policy standard","",""
"EVAC-02","Evacuation timeline","Expected evacuation delay, contested theatre","72+","hours","Stated expectation that evacuation will be delayed 'greater than 72 hours, maybe even longer'.","Director, Armed Services Blood Program","Jun 2026","Public statement"
"EVAC-03","Evacuation timeline","Prolonged casualty care standard, assessed attainability","72","hours","Army doctrine writers have described the 72-hour prolonged-care standard as 'more aspirational than medically attainable'.","Army doctrine commentary","","Assessment, not a measured figure"
"DEM-01","Casualty demand","Projected casualties, opening days, corps-sized force","tens of thousands","casualties","Planning estimate for large-scale combat operations.","LSCO planning estimates","","Order-of-magnitude planning figure"
"CAP-01","Evacuation capacity","Division air ambulance company throughput","~30","casualties per operational cycle","Organic rotary-wing medical evacuation capacity at division level.","Force structure reference","",""
"CAP-02","Surgical capacity","Role 2 surgical element holding capacity","10 to 40","patients","Holding capacity before the element is full.","Force structure reference","",""
"CAP-03","Shortfall","Capacity against demand","1 to 2","orders of magnitude","Evacuation and surgical capacity falls short of projected demand by one to two orders of magnitude. No realistic buy of airframes closes the gap within the timelines that decide survival.","Derived from DEM-01, CAP-01, CAP-02","","Arithmetic on the rows above"
"INT-01","Intervention window","Tranexamic acid, effective administration window","<=3","hours from injury","Administration within three hours of injury reduces death from bleeding. The same drug given later increases it.","CRASH-2 randomised controlled trial","2010","Directional effect reverses outside the window"
"INT-02","Intervention constraint","Whole blood, storage","temperature-banded","cold chain","Whole blood requires an enforced temperature band in transit and storage.","Blood product handling guidance","",""
"INT-03","Intervention constraint","Whole blood, shelf life","finite","shelf clock","Product carries a shelf clock independent of the casualty's condition. Product spent on someone who cannot use it is product denied to someone who can.","Blood product handling guidance","",""
"MAT-01","Materiel class","Whole blood","","","Time-bound, temperature-controlled, scarce forward.","Joint Trauma System clinical practice guidance","",""
"MAT-02","Materiel class","Plasma / freeze-dried plasma","","","Time-bound. Freeze-dried variants relax but do not remove the constraint.","Joint Trauma System clinical practice guidance","",""
"MAT-03","Materiel class","Tranexamic acid","","","Window-bound; see INT-01.","CRASH-2; Joint Trauma System guidance","",""
"MAT-04","Materiel class","Tourniquet / haemorrhage control kit","","","Point-of-injury intervention; effectiveness falls with delay.","Tactical Combat Casualty Care guidance","",""
"MAT-05","Materiel class","Chest seal","","","Point-of-injury intervention for penetrating thoracic injury.","Tactical Combat Casualty Care guidance","",""
"GAP-01","Stated requirement","Forward availability of blood, response threshold","<30","minutes","Listed as an unresolved gap: dynamic tracking and allocation of blood across the battlespace with authority for fast response, coordination and delivery.","Joint Trauma System CPG, Aerial Delivery of Fresh and Stored Blood Products","1 Dec 2025","Signed clinical practice guideline; gap is the guideline's own wording"
"POL-01","Policy","Autonomy directive applicability","excluded","scope","Para. 1.1.b excludes unarmed platforms, and autonomous or semi-autonomous systems that are not weapon systems.","DoD Directive 3000.09, Autonomy in Weapon Systems","25 Jan 2023",""
"POL-02","Policy","AI ethical principles applicability","applies","scope","Apply expressly to combat and non-combat functions alike. Principles, not an adjudicating issuance.","DoD AI Ethical Principles","24 Feb 2020",""
"POL-03","Policy","Department-wide AI acquisition guidance","none found","finding","No department-wide DoD guidance for acquiring artificial intelligence.","GAO-23-105850","2023",""
"POL-04","Policy","Civil high-impact AI scope","DoD excluded","scope","Names 'the allocation of care' as high-impact AI, then excludes the Department of Defense from its scope.","OMB M-25-21","2025",""
"POL-05","Policy","Governance of autonomy in medical resource allocation","none","finding","No DoD or DHA issuance governs autonomy in triage, casualty prioritisation, or the allocation of scarce medical resources.","Absence of issuance","","Stated as an unfilled seam, not a permission"
"DIR-01","Stated direction","Military Health System framing","","","'This is a warfighting function ... not just a support function.'","Vice Adm. Darin K. Via, Director, Defense Health Agency, DHITS 2026","13 Aug 2026","Reported by DHA Communications"
"DIR-02","Stated direction","Outcome over capability","","","'The specific IT solutions are secondary to the outcomes. We're not looking for cool capabilities if they can't be operationalized.'","Vice Adm. Darin K. Via, Director, Defense Health Agency, DHITS 2026","13 Aug 2026","Reported by DHA Communications"
"DIR-03","Stated direction","Human accountability under AI adoption","","","'AI-first does not mean AI-only or AI-dependent ... human accountability, clinical judgments ... are preserved in every AI-enabled process.'","Dr. Jesus Caban, DHA Chief Data and Analytics Officer, DHITS 2026","13 Aug 2026","Reported by DHA Communications"
